epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9955,1.60465,3.26725,1.37834,0.05652,0.97744,0.13167,0.08159,1.08416,3.0258,0.95476,0.0001,0.0001,0.0001
2,53.8466,1.14112,2.80136,1.02401,0.05725,0.98997,0.82395,0.52678,1.0043,2.73023,0.87728,0.00020911,0.00020911,0.00020911
3,77.7386,1.01413,2.11251,0.94567,0.05754,0.99499,0.87349,0.59095,0.95087,2.63709,0.85001,0.00030634,0.00030634,0.00030634
4,104.876,1.02332,1.62309,0.9359,0.05754,0.99499,0.90167,0.60739,0.98938,2.59459,0.85952,0.00039169,0.00039169,0.00039169
5,129.688,1.01125,1.2502,0.92831,0.05754,0.99499,0.87721,0.57481,0.95776,2.54302,0.85839,0.00046516,0.00046516,0.00046516
6,167.904,0.96196,1.03974,0.92624,0.05754,0.99499,0.8207,0.54837,0.9696,2.46578,0.8812,0.00052675,0.00052675,0.00052675
7,199.132,0.96294,0.84623,0.95035,0.05725,0.98997,0.93461,0.70279,0.96437,2.38294,0.89632,0.00057646,0.00057646,0.00057646
8,222.174,0.92543,0.73601,0.93734,0.96927,0.9198,0.94641,0.69122,0.96243,2.12055,0.88984,0.00061429,0.00061429,0.00061429
9,247.068,0.93698,0.70268,0.94612,0.99615,0.64911,0.95258,0.69752,0.94774,1.89489,0.88612,0.00064024,0.00064024,0.00064024
10,272.282,0.92861,0.68679,0.94578,0.99076,0.80596,0.97426,0.70254,0.95529,1.69291,0.89876,0.00065431,0.00065431,0.00065431
11,296.095,0.92344,0.9205,0.96249,0.99459,0.92233,0.98443,0.6465,1.04259,1.38223,0.91116,0.0006565,0.0006565,0.0006565
12,319.324,0.90831,0.80753,0.95121,0.99469,0.93942,0.98659,0.74594,0.89542,1.39578,0.91197,0.00064681,0.00064681,0.00064681
13,342.676,0.86791,0.71157,0.92299,0.99472,0.94366,0.98927,0.75338,0.87257,1.3264,0.89073,0.00062524,0.00062524,0.00062524
14,365.515,0.83269,0.68292,0.91928,0.98954,0.98246,0.99011,0.75823,0.86374,1.18369,0.88303,0.00059179,0.00059179,0.00059179
15,388.639,0.8604,0.65937,0.9136,0.98992,0.9847,0.99088,0.7664,0.85691,1.08743,0.8864,0.00054646,0.00054646,0.00054646
16,429.366,0.85349,0.65245,0.91848,0.98992,0.98469,0.99185,0.76572,0.86321,0.93191,0.88692,0.00048925,0.00048925,0.00048925
17,477.885,0.86034,0.63369,0.91712,0.98742,0.98386,0.99205,0.77274,0.84167,0.85916,0.87638,0.000416,0.000416,0.000416
18,525.549,0.83344,0.61336,0.90975,0.98742,0.98354,0.99234,0.78192,0.82912,0.78211,0.87438,0.000317,0.000317,0.000317
19,575.159,0.82222,0.60002,0.90355,0.98741,0.98295,0.99215,0.78765,0.81534,0.75779,0.87416,0.000218,0.000218,0.000218
20,625.692,0.80313,0.58567,0.89953,0.98682,0.98496,0.99197,0.79372,0.80806,0.71389,0.87463,0.000119,0.000119,0.000119
