epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2435,1.6536,3.28751,1.3743,0.05638,0.97494,0.13475,0.0809,1.09725,3.01586,0.95331,0.0001,0.0001,0.0001
2,57.3204,1.13765,2.8832,1.01921,0.05739,0.99248,0.80858,0.49784,1.05595,2.75388,0.88656,0.00020911,0.00020911,0.00020911
3,79.8755,1.05221,2.1537,0.95082,0.05739,0.99248,0.90806,0.564,0.95907,2.69708,0.85582,0.00030634,0.00030634,0.00030634
4,102.092,1.00741,1.67217,0.94143,0.05739,0.99248,0.90566,0.61094,0.95367,2.63215,0.85785,0.00039169,0.00039169,0.00039169
5,125.885,1.01527,1.31442,0.94096,0.05754,0.99499,0.90312,0.56728,0.97079,2.61245,0.87489,0.00046516,0.00046516,0.00046516
6,148.914,0.99215,1.01885,0.94661,0.05754,0.99499,0.88533,0.54973,1.03634,2.53665,0.89984,0.00052675,0.00052675,0.00052675
7,169.692,0.943,0.84006,0.9318,0.05754,0.99499,0.89015,0.6221,0.9216,2.43954,0.87915,0.00057646,0.00057646,0.00057646
8,190.864,0.92053,0.72756,0.92414,0.05754,0.99499,0.94095,0.66484,0.93099,2.23962,0.86962,0.00061429,0.00061429,0.00061429
9,212.206,0.92131,0.69969,0.93945,0.99552,0.55689,0.94812,0.66515,0.94542,1.89379,0.86952,0.00064024,0.00064024,0.00064024
10,233.129,0.90046,0.63843,0.94361,0.99032,0.76904,0.9604,0.63302,1.07273,1.59371,0.9039,0.00065431,0.00065431,0.00065431
11,253.412,0.87586,0.80385,0.94621,0.99385,0.81,0.97242,0.70031,0.92095,1.49751,0.8885,0.0006565,0.0006565,0.0006565
12,273.885,0.87561,0.75614,0.92988,0.99169,0.89675,0.98085,0.71568,0.94548,1.34597,0.89225,0.00064681,0.00064681,0.00064681
13,294.682,0.84047,0.68566,0.91368,0.99472,0.94368,0.98462,0.72614,0.92438,1.294,0.88904,0.00062524,0.00062524,0.00062524
14,315.18,0.84699,0.67436,0.90148,0.99236,0.97666,0.98644,0.75949,0.87452,1.11822,0.86841,0.00059179,0.00059179,0.00059179
15,335.71,0.84325,0.64488,0.91137,0.98988,0.98105,0.98958,0.75065,0.91653,1.05416,0.87644,0.00054646,0.00054646,0.00054646
16,356.698,0.82541,0.63905,0.90804,0.98738,0.98018,0.99281,0.77049,0.85274,0.94043,0.87496,0.00048925,0.00048925,0.00048925
17,377.309,0.84973,0.62139,0.91102,0.98742,0.98326,0.99298,0.77284,0.85061,0.88646,0.87832,0.000416,0.000416,0.000416
18,401.467,0.82322,0.60769,0.9065,0.98991,0.97494,0.9931,0.77284,0.85038,0.78113,0.876,0.000317,0.000317,0.000317
19,432.267,0.80864,0.58956,0.90413,0.98002,0.98356,0.99316,0.77295,0.85894,0.74844,0.87987,0.000218,0.000218,0.000218
20,452.293,0.81083,0.57799,0.89695,0.98007,0.98606,0.99322,0.78311,0.81659,0.70078,0.87737,0.000119,0.000119,0.000119
